,cpi_fah,rdi_adj,home_price,grocery_sales_lag1,covid1,covid2,grocery_sales,grocery_sales_fcst,grocery_sales_se_obs,lower_bound,upper_bound,Actual YOY %,Forecast YOY %,Actual YOY Change,Forecast YOY Change
2007-01-01,195.918,11956.6,182.718,40153.0,0,0,40253.0,40297.157336566066,569.5408296373583,39180.857310476844,41413.45736265529,,,,
2007-02-01,197.735,11996.0,182.471,40253.0,0,0,40646.0,40514.68260567819,568.2339372893063,39400.944088591146,41628.42112276523,,,,
2007-03-01,198.816,12035.1,182.193,40646.0,0,0,40572.0,40843.51545229209,567.3463773766417,39731.516552633875,41955.51435195031,,,,
2007-04-01,199.25,12052.8,182.131,40572.0,0,0,40416.0,40851.43228848687,567.0408541249716,39740.03221440192,41962.83236257181,,,,
2007-05-01,200.237,12059.9,181.885,40416.0,0,0,40740.0,40835.69718739992,566.630406423109,39725.10159081063,41946.292783989215,,,,
2007-06-01,201.151,12053.3,181.54,40740.0,0,0,40870.0,41060.98922651508,565.9406513151058,39951.74554993747,42170.232903092685,,,,
2007-07-01,201.596,12066.4,180.993,40870.0,0,0,41044.0,41168.856557715066,565.4512585060655,40060.57209104318,42277.141024386954,,,,
2007-08-01,202.338,12070.9,180.234,41044.0,0,0,40954.0,41307.21507493941,564.8029542579952,40200.20128459374,42414.228865285084,,,,
2007-09-01,203.3,12089.6,179.122,40954.0,0,0,41095.0,41326.55867421951,564.0750830205991,40220.971511499134,42432.14583693988,,,,
2007-10-01,204.081,12080.4,177.52900000000002,41095.0,0,0,41379.0,41420.69800182205,563.2261602545793,40316.774727723074,42524.621275921025,,,,
2007-11-01,205.119,12070.1,175.16099999999997,41379.0,0,0,41868.0,41597.29849047567,562.0659834862283,40495.64916284266,42698.947818108674,,,,
2007-12-01,205.503,12120.5,173.33700000000002,41868.0,0,0,41998.0,41922.59849471032,561.2199772409366,40822.607339318085,43022.589650102556,,,,
2008-01-01,207.1,12137.1,171.076,41998.0,0,0,42159.0,42084.82758495493,559.9879473816609,40987.25120808688,43182.40396182299,4.735050803666807,4.43621924360087,1906.0,1787.6702483888657
2008-02-01,207.854,12141.8,169.19,42159.0,0,0,42016.0,42200.03366008684,559.3194709010426,41103.767497120796,43296.29982305288,3.3705653692860382,4.15985254237794,1370.0,1685.351054408653
2008-03-01,208.093,12145.9,167.90200000000002,42016.0,0,0,42168.0,42122.68852516443,558.8949497848021,41027.254423586215,43218.12262674264,3.9337474120082705,3.131887788568277,1596.0,1279.1730728723342
2008-04-01,210.897,12100.8,167.321,42168.0,0,0,42584.0,42329.83080803846,558.2679506116026,41235.62562483972,43424.0359912372,5.364212193190809,3.618963734518177,2168.0,1478.3985195515925
2008-05-01,211.8,12696.2,167.019,42584.0,0,0,42549.0,43311.81944132124,557.6768637065396,42218.77278845642,44404.86609418606,4.440353460972024,6.063621841836309,1809.0,2476.1222539213195
2008-06-01,213.331,12376.6,166.53599999999997,42549.0,0,0,42683.0,43011.58484494213,557.0692262500991,41919.72916149194,44103.440528392326,4.4360166381208765,4.750483744233458,1813.0,1950.5956184270544
2008-07-01,216.028,12188.7,165.713,42683.0,0,0,42899.0,43030.57551199724,557.0053123422681,41938.84509980639,44122.305924188084,4.519540005847378,4.522153661645212,1855.0,1861.7189542821725
2008-08-01,217.449,12120.6,164.27700000000002,42899.0,0,0,43063.0,43141.46884513057,556.7764455687396,42050.18701181584,44232.7506784453,5.149680128925138,4.440516667278249,2109.0,1834.253770191157
2008-09-01,218.757,12149.0,161.912,43063.0,0,0,42834.0,43315.51711018106,556.2738239320518,42225.22041527424,44405.813805087884,4.231658352597645,4.812785046150747,1739.0,1988.9584359615546
2008-10-01,219.532,12240.5,159.162,42834.0,0,0,42768.0,43306.84695488819,556.1834905572308,42216.72731339602,44396.96659638036,3.3567751758138087,4.553638745979538,1389.0,1886.148953066142
2008-11-01,219.662,12345.9,156.071,42768.0,0,0,42496.0,43356.12877789497,556.0638198504106,42266.243690988165,44446.013864801775,1.499952230820667,4.228232003628829,628.0,1758.8302874193032
2008-12-01,219.163,12288.8,152.54399999999998,42496.0,0,0,42136.0,43053.518057148736,555.9200074428395,41963.91484256077,44143.1212717367,0.3285870755750375,2.6976370813014183,138.0,1130.9195624384156
2009-01-01,218.953,12361.5,149.361,42136.0,0,0,42771.0,42879.212111221634,556.6305753485091,41788.216183538556,43970.20803890471,1.4516473350886017,1.8875793768267535,612.0,794.3845262667019
2009-02-01,217.93,12241.9,147.61700000000002,42771.0,0,0,42101.0,42993.3553745655,554.8133421634591,41905.92122392512,44080.78952520588,0.20230388423456702,1.879907776540457,85.0,793.3217144786613
2009-03-01,216.949,12242.7,146.514,42101.0,0,0,42069.0,42545.04092690682,555.3166175939364,41456.6203564227,43633.461497390934,-0.23477518497438954,1.0026719958534436,-99.0,422.3524017423915
2009-04-01,215.807,12320.0,146.942,42069.0,0,0,42288.0,42549.12455057746,555.2567930545833,41460.82123619047,43637.42786496444,-0.6950967499530392,0.5180595772600105,-296.0,219.29374253899732
2009-05-01,215.064,12500.1,148.16899999999998,42288.0,0,0,42300.0,42850.03595318426,555.2945678737568,41761.6586001517,43938.413306216826,-0.5852076429528341,-1.066183536257581,-249.0,-461.7834881369781
2009-06-01,214.953,12273.2,149.796,42300.0,0,0,42530.0,42607.68450937632,555.0005687682419,41519.883394590564,43695.48562416207,-0.35845652836024033,-0.9390501117824024,-153.0,-403.9003355658133
2009-07-01,214.047,12218.7,150.748,42530.0,0,0,42480.0,42624.454815158584,555.0379273609962,41536.58047753103,43712.32915278614,-0.9767127438867984,-0.9437956429967476,-419.0,-406.1206968386541
2009-08-01,213.769,12194.8,150.668,42480.0,0,0,42401.0,42549.38073538264,555.1206896247726,41461.34418371809,43637.417287047196,-1.5372825859786832,-1.372433822022634,-662.0,-592.0881097479287
2009-09-01,213.299,12230.6,149.628,42401.0,0,0,42691.0,42501.21617303181,554.9831508571033,41413.44919735189,43588.98314871173,-0.333846944016436,-1.8799289295748811,-143.0,-814.3009371492517
2009-10-01,213.472,12193.2,148.585,42691.0,0,0,42763.0,42612.15469996579,555.1388880174235,41524.08247945164,43700.22692047994,-0.011690983913204,-1.6041164475586234,-5.0,-694.6922549224037
2009-11-01,213.383,12224.4,147.94,42763.0,0,0,42808.0,42672.631956667996,555.0520383865548,41584.72996143035,43760.53395190564,0.7341867469879526,-1.5764710560954298,312.0,-683.4968212269741
2009-12-01,213.839,12280.2,146.666,42808.0,0,0,43192.0,42773.679285038386,554.7484773689761,41686.37226939519,43860.98630068158,2.5061704955382513,-0.6499788745228607,1056.0,-279.83877211034996
2010-01-01,214.738,12285.8,145.003,43192.0,0,0,43028.0,43025.28580338143,554.8760286304523,41937.72878726574,44112.84281949711,0.6008744242594233,0.3406631907808988,257.0,146.0736921597927
2010-02-01,214.728,12292.0,143.054,43028.0,0,0,43735.0,42912.41574908342,554.702389896237,41825.199064886794,43999.63243328004,3.8811429657252816,-0.1882607783852186,1634.0,-80.93962548208219
2010-03-01,215.55,12340.3,143.596,43735.0,0,0,43304.0,43419.64168424736,555.2117743100209,42331.42660659972,44507.856761895004,2.935653331431687,2.055705525922802,1235.0,874.6007573405441
2010-04-01,215.721,12447.1,145.40200000000002,43304.0,0,0,43186.0,43347.03294873803,554.289681089217,42260.625173803164,44433.440723672895,2.1235338630344325,1.875263960395035,898.0,797.9083981605727
2010-05-01,215.717,12540.3,147.037,43186.0,0,0,43224.0,43416.084526112856,554.262003703201,42329.73099885458,44502.43805337113,2.184397163120577,1.3209990618141543,924.0,566.0485729285938
2010-06-01,215.476,12544.3,147.703,43224.0,0,0,42920.0,43435.76837234956,554.2573496397343,42349.42396705568,44522.11277764344,0.9169997648718509,1.9435082485907085,390.0,828.0838629732389
2010-07-01,215.451,12554.2,147.563,42920.0,0,0,43052.0,43276.776640301054,554.4933865619191,42189.96960263969,44363.583677962415,1.3465160075329496,1.5303933574547068,572.0,652.3218251424696
2010-08-01,215.361,12591.4,146.42700000000002,43052.0,0,0,43258.0,43369.72877155777,554.3671669656018,42283.16912430519,44456.28841881035,2.021178745784291,1.9279905418058352,857.0,820.3480361751281
2010-09-01,216.166,12589.9,144.608,43258.0,0,0,43646.0,43506.74289263534,554.2323540535201,42420.44747869044,44593.03830658024,2.2370054578248366,2.3658775210332994,955.0,1005.5267196035275
2010-10-01,216.534,12592.5,143.128,43646.0,0,0,43493.0,43724.678549908764,554.1504646695029,42638.54363915654,44810.81346066099,1.7070832261534497,2.6108134117514448,730.0,1112.523849942976
2010-11-01,217.105,12605.1,141.816,43493.0,0,0,44121.0,43673.40954033006,554.2107923038685,42587.15638741448,44759.66269324564,3.0671837039805583,2.3452445695834045,1313.0,1000.777583662064
2010-12-01,217.419,12680.6,140.625,44121.0,0,0,44184.0,44109.38643119594,554.287743110087,43022.98245470017,45195.79040769171,2.296721615113917,3.122731475252749,992.0,1335.7071461575542
2011-01-01,219.251,12740.1,139.032,44184.0,0,0,44639.0,44310.821202569205,554.4011458033032,43224.19495679473,45397.44744834368,3.7440736264757746,2.987860220295735,1611.0,1285.5353991877782
2011-02-01,220.732,12776.6,137.727,44639.0,0,0,44961.0,44681.54719324371,554.6320052636938,43594.46846292687,45768.62592356055,2.8032468274837186,4.122656376431277,1226.0,1769.131444160288
2011-03-01,223.193,12742.7,137.781,44961.0,0,0,45068.0,44982.04848644426,554.8729375309505,43894.4975288836,46069.599444004925,4.073526694993523,3.598387139071524,1764.0,1562.4068021968997
2011-04-01,224.098,12721.3,139.156,45068.0,0,0,45769.0,45096.306946556026,554.8416565999198,44008.81729962018,46183.79659349187,5.9811049877275035,4.035510342511062,2583.0,1749.2739978179961
2011-05-01,225.295,12705.3,140.692,45769.0,0,0,45365.0,45564.6342282948,555.1999313840682,44476.44236278203,46652.82609380758,4.953266703683146,4.9487412916972895,2141.0,2148.5497021819465
2011-06-01,225.857,12756.9,141.944,45365.0,0,0,45791.0,45459.55781489838,554.8007704310628,44372.148304853494,46546.96732494326,6.689189189189193,4.659269349629214,2871.0,2023.7894425488194
2011-07-01,227.178,12805.6,142.342,45791.0,0,0,45797.0,45843.85970978102,554.9494312879688,44756.1588244566,46931.56059510544,6.376010406020627,5.9317797413992235,2745.0,2567.083069479966
2011-08-01,228.492,12799.7,141.784,45797.0,0,0,46034.0,45918.683606015446,555.2858913439306,44830.32325898134,47007.04395304955,6.417310092930784,5.877267178413392,2776.0,2548.954834457676
2011-09-01,229.927,12781.7,140.165,46034.0,0,0,45887.0,46098.03843154474,555.7984352544439,45008.67349844603,47187.40336464345,5.1344911332080745,5.956077993023112,2241.0,2591.2955389093986
2011-10-01,229.992,12791.9,138.405,45887.0,0,0,46001.0,46007.00926237908,556.0944482043814,44917.06414389849,47096.954380859665,5.766445175085644,5.219776995879322,2508.0,2282.3307124703133
2011-11-01,229.947,12782.7,136.66,46001.0,0,0,46138.0,46029.409617350924,556.3237749563588,44939.01501843646,47119.80421626539,4.57151923120509,5.394587008017382,2017.0,2356.0000770208644
2011-12-01,230.424,12898.5,135.162,46138.0,0,0,46078.0,46249.341141136436,556.7474391432834,45158.1161604156,47340.56612185727,4.286619590802099,4.851472403223078,1894.0,2139.9547099404954
2012-01-01,230.948,12967.5,134.162,46078.0,0,0,46248.0,46316.89191187233,557.2907571055111,45224.602027945526,47409.18179579913,3.604471426331246,4.52727043837049,1609.0,2006.0707093031233
2012-02-01,230.612,13029.6,133.991,46248.0,0,0,46353.0,46458.24019133202,557.2346872014294,45366.06020441722,47550.42017824682,3.0960165476746404,3.976346186948887,1392.0,1776.6929980883142
2012-03-01,231.051,13066.4,135.859,46353.0,0,0,46800.0,46616.32378585653,557.1080421103553,45524.39202332024,47708.25554839283,3.8430815656341544,3.6331722418216916,1732.0,1634.2752994122711
2012-04-01,231.397,13116.5,138.466,46800.0,0,0,46879.0,46982.729382876736,556.6021319127982,45891.78920432765,48073.66956142582,2.425222312045272,4.1830973843519415,1110.0,1886.4224363207104
2012-05-01,231.32,13112.5,141.043,46879.0,0,0,46873.0,47055.277822116775,556.1025329984975,45965.31685743972,48145.23878679383,3.3241485726881903,3.271492505247209,1508.0,1490.643593821973
2012-06-01,231.713,13097.2,143.166,46873.0,0,0,46889.0,47092.134150928905,555.8885963862887,46002.59250201178,48181.67579984603,2.3978511061125474,3.5912719227891188,1098.0,1632.5763360305282
2012-07-01,231.658,12999.8,144.281,46889.0,0,0,46910.0,46999.87011600635,555.5736540842153,45910.94575400129,48088.79447801141,2.4302901936808174,2.5216253900600227,1113.0,1156.0104062253304
2012-08-01,231.853,12961.6,144.704,46910.0,0,0,47059.0,46985.8707065213,555.5516689571774,45896.989435365234,48074.75197767737,2.2266151105704513,2.3240803452955427,1025.0,1067.1871005058565
2012-09-01,231.789,13053.1,144.355,47059.0,0,0,47131.0,47165.481755230656,555.5914871392592,46076.52244043771,48254.441070023604,2.711007474883953,2.3155938083375682,1244.0,1067.4433236859186
2012-10-01,232.398,13142.0,143.96200000000002,47131.0,0,0,47402.0,47343.62368813066,555.9288838542875,46254.00307577626,48433.244300485065,3.0455859655224904,2.9052408473866143,1401.0,1336.6144257515843
2012-11-01,232.883,13315.7,143.953,47402.0,0,0,47310.0,47728.0752755642,556.4137825304061,46637.504261804606,48818.6462893238,2.540205470544876,3.690392017483024,1172.0,1698.6656582132782
2012-12-01,233.374,13642.7,143.86,47310.0,0,0,47142.0,48092.29381542247,559.2237572043034,46996.215251302034,49188.3723795429,2.309128000347238,3.9848193051269742,1064.0,1842.9526742860326
2013-01-01,233.696,12845.5,144.305,47142.0,0,0,47236.0,47092.8211047947,556.1769312926897,46002.714319461025,48182.92789012837,2.1363085971285223,1.67526179087909,988.0,775.9291929223691
2013-02-01,233.526,12813.9,145.157,47236.0,0,0,47729.0,47108.97937642971,556.135388240282,46018.954015478754,48199.00473738066,2.9685241516191008,1.4006970182635081,1376.0,650.7391850976855
2013-03-01,233.58,12852.1,147.957,47729.0,0,0,47625.0,47470.278077299285,556.0541568650385,46380.41192984381,48560.14422475476,1.7628205128205066,1.8318782394030064,825.0,853.9542914427511
2013-04-01,233.776,12893.4,150.967,47625.0,0,0,47307.0,47520.1453099043,555.3971623399441,46431.56687171801,48608.72374809059,0.912988758292621,1.1438584647732952,428.0,537.4159270275632
2013-05-01,233.184,12954.2,153.857,47307.0,0,0,47799.0,47421.52237507318,554.8241702110429,46334.06700145954,48508.977748686826,1.9755509568408325,0.7783283191758361,926.0,366.24455295640655
2013-06-01,233.809,12955.7,156.423,47799.0,0,0,47745.0,47773.43491322411,554.7443302071399,46686.13602601812,48860.733800430105,1.825588091023489,1.4467400439140299,856.0,681.3007622952064
2013-07-01,233.893,12941.8,158.281,47745.0,0,0,48053.0,47761.14929188035,554.6325375297059,46674.069518322125,48848.22906543857,2.4365806864208084,1.6197474035459791,1143.0,761.2791758739986
2013-08-01,234.073,12969.6,159.388,48053.0,0,0,48182.0,47991.44305737847,554.60413460956,46904.41895354373,49078.46716121321,2.3863660511272977,2.1401590217154487,1123.0,1005.5723508571682
2013-09-01,234.04,13027.5,159.668,48182.0,0,0,48291.0,48132.221360703785,554.4725045688934,47045.455251748754,49218.987469658816,2.46122509600899,2.0496760967906758,1160.0,966.7396054731289
2013-10-01,234.219,12974.6,159.554,48291.0,0,0,48444.0,48140.08976288301,554.7508000313929,47052.77819482148,49227.40133094454,2.1982194844099467,1.6823090686909792,1042.0,796.4660747523521
2013-11-01,234.144,12998.9,159.364,48444.0,0,0,48492.0,48244.73254502601,554.8178342342406,47157.2895899269,49332.17550012512,2.4984147114774924,1.082501790568391,1182.0,516.657269461808
2013-12-01,234.318,13019.1,159.281,48492.0,0,0,48938.0,48305.025271646395,554.7931035668162,47217.630788655435,49392.419754637354,3.809766238174017,0.4423400078199302,1796.0,212.73145622392622
2014-01-01,234.722,13079.5,159.368,48938.0,0,0,49128.0,48648.686058900515,555.0730844389716,47560.74281340013,49736.6293044009,4.00541959522398,3.3038261832808447,1892.0,1555.8649541058185
2014-02-01,235.781,13148.0,159.869,49128.0,0,0,49211.0,48910.932709295426,554.9289690370011,47823.271929982904,49998.59348860795,3.1050304846110377,3.825074023504116,1482.0,1801.9533328657199
2014-03-01,237.055,13219.9,161.185,49211.0,0,0,49195.0,49144.991246142105,554.6946882003257,48057.789657269466,50232.19283501474,3.2965879265091758,3.52791944069879,1570.0,1674.7131688428199
2014-04-01,237.942,13270.2,162.964,49195.0,0,0,49591.0,49280.78781911107,554.5918107123503,48193.787870114866,50367.78776810728,4.828038133891388,3.705044455829598,2284.0,1760.642509206773
2014-05-01,239.611,13312.9,164.678,49591.0,0,0,49770.0,49684.50391621007,554.7544866206352,48597.18512243363,50771.82270998652,4.123517228393903,4.772055867878278,1971.0,2262.981541136891
2014-06-01,239.682,13360.4,166.207,49770.0,0,0,50096.0,49866.28962541317,554.571645591067,48779.32920005468,50953.25005077166,4.92407581945753,4.380791785205584,2351.0,2092.854712189059
2014-07-01,240.154,13386.8,167.13099999999997,50096.0,0,0,50369.0,50121.36095170843,554.559977292663,49034.423396214814,51208.29850720205,4.819678271908101,4.941697791659583,2316.0,2360.2116598280845
2014-08-01,240.692,13445.9,167.446,50369.0,0,0,50507.0,50380.863523883374,554.5895962987353,49293.86791513785,51467.859132628895,4.8254534888547695,4.9788468824496945,2325.0,2389.4204665049037
2014-09-01,241.328,13486.3,167.236,50507.0,0,0,50727.0,50542.87821741298,554.706799065719,49455.65289124417,51630.10354358179,5.044418214574153,5.008405572316499,2436.0,2410.6568567091963
2014-10-01,241.62,13550.7,166.90400000000002,50727.0,0,0,50941.0,50753.45866460686,554.7680686015267,49666.113250147864,51840.80407906585,5.1544050862851964,5.4286747585975625,2497.0,2613.368901723843
2014-11-01,241.912,13624.4,166.65200000000002,50941.0,0,0,50964.0,50972.8673489939,554.8362001828518,49885.38839663551,52060.34630135229,5.097748082157882,5.6547827297452,2472.0,2728.1348039678924
2014-12-01,242.893,13719.1,166.454,50964.0,0,0,51141.0,51158.471978115966,555.1622140108298,50070.35403865474,52246.58991757719,4.501614287465783,5.907142560060841,2203.0,2853.446706469571
2015-01-01,242.553,13797.7,166.24200000000002,51141.0,0,0,51235.0,51322.13550008128,555.1167129748026,50234.10674265066,52410.16425751189,4.288796612929491,5.495419625401454,2107.0,2673.449441180761
2015-02-01,242.598,13848.0,166.623,51235.0,0,0,51322.0,51441.474867024306,555.1278426457801,50353.42429543858,52529.525438610035,4.289691329174361,5.173776122343199,2111.0,2530.54215772888
2015-03-01,241.633,13811.3,168.081,51322.0,0,0,51273.0,51404.40170404993,554.6167275912161,50317.35291797115,52491.450490128715,4.224006504726097,4.597437908965318,2078.0,2259.4104579078266
2015-04-01,241.106,13842.0,169.965,51273.0,0,0,51136.0,51407.17475761365,554.3060370736403,50320.73492494931,52493.61459027798,3.1154846645560674,4.314839580705665,1545.0,2126.3869385025755
2015-05-01,241.107,13865.6,171.84599999999998,51136.0,0,0,51191.0,51388.19382140113,554.2129984817788,50301.936344376845,52474.45129842542,2.855133614627281,3.4290166367852315,1421.0,1703.6899051910586
2015-06-01,241.922,13874.1,173.446,51191.0,0,0,51404.0,51506.4457103381,554.3000406357183,50420.01763069209,52592.87378998411,2.610986905142121,3.2891079269091295,1308.0,1640.156084924929
2015-07-01,242.25,13905.7,174.491,51404.0,0,0,51572.0,51697.91078587817,554.2073206351957,50611.66443743319,52784.157134323155,2.3883738013460665,3.1454649359755615,1203.0,1576.5498341697385
2015-08-01,242.864,13935.8,174.93,51572.0,0,0,51526.0,51872.66677679605,554.2894123863575,50786.25952851879,52959.074025073314,2.017542122874061,2.9610513765915947,1019.0,1491.8032529126795
2015-09-01,243.198,13972.2,175.03400000000002,51526.0,0,0,51419.0,51913.78739481286,554.5603802590505,50826.84904950512,53000.7257401206,1.3641650403138472,2.7123686377788836,692.0,1370.9091773998807
2015-10-01,243.284,13996.9,175.03799999999998,51419.0,0,0,51280.0,51889.791852455295,554.8533284010662,50802.279328789205,52977.304376121385,0.6654757464517713,2.2389275878864634,339.0,1136.3331878484387
2015-11-01,242.606,13993.4,175.128,51280.0,0,0,51596.0,51765.928065077394,554.7703312018192,50678.57821592183,52853.27791423296,1.2400910446589641,1.5558487433199986,632.0,793.0607160834916
2015-12-01,241.88,14060.2,175.1,51596.0,0,0,51376.0,51969.28842018061,554.3332007875468,50882.795346637016,53055.7814937242,0.45951389296259304,1.5849113757961497,235.0,810.8164420646426
2016-01-01,241.558,14121.1,175.021,51376.0,0,0,51598.0,51897.51320116035,554.8336147598984,50810.03931623095,52984.98708608975,0.708500048794769,1.1211102099953685,363.0,575.3777010790727
2016-02-01,241.741,14135.3,175.267,51598.0,0,0,51578.0,52051.829556535704,554.6008806063676,50964.81183054722,53138.847282524184,0.498811425899226,1.186503091307478,256.0,610.3546895113977
2016-03-01,240.414,14135.4,176.59099999999998,51578.0,0,0,51172.0,51973.24399696194,554.1041464220422,50887.199869974735,53059.28812394914,-0.19698476781151442,1.1066023026335303,-101.0,568.8422929120061
2016-04-01,240.341,14106.2,178.488,51172.0,0,0,51832.0,51740.03720333071,554.4833877856908,50653.24976327075,52826.82464339066,1.3610763454317887,0.6475019241701574,696.0,332.862445717059
2016-05-01,239.348,14095.5,180.337,51832.0,0,0,51957.0,52051.99417515424,553.3378927699789,50967.451905325084,53136.5364449834,1.496356781465491,1.2917370788709581,766.0,663.8003537531113
2016-06-01,238.763,14104.9,181.907,51957.0,0,0,52276.0,52116.68427553395,553.1854222201181,51032.44084798252,53200.927703085385,1.6963660415531878,1.184780966304122,872.0,610.2385651958539
2016-07-01,238.38,14160.1,183.008,52276.0,0,0,51976.0,52347.8401593661,553.1932802028604,51263.58133016849,53432.0989885637,0.7833708213759394,1.2571675791306136,404.0,649.9293734879247
2016-08-01,238.133,14176.7,183.645,51976.0,0,0,52212.0,52195.976059948756,553.17233646356,51111.75828048018,53280.193839417334,1.331366688662028,0.6232748444260139,686.0,323.30928315270285
